id,titulo,infos,valor,local,data_anuncio,link,DATA_COLETA_METADADOS
1034435718,HB20S 2019/2019 1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO,53.527 km  |  Câmbio: Automático  |  Flex  |  ,R$ 74.220,São Luís -  MA,"Hoje, 17:58",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/hb20s-2019-2019-1-6-comfort-plus-16v-flex-4p-automatico-1034435718,2022-06-01
1039795283,Mitsubish ASX 2018 top de linha com teto,34.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 115.000,Rio de Janeiro -  RJ,"Hoje, 17:58",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubish-asx-2018-top-de-linha-com-teto-1039795283,2022-06-01
1037798866,Nivus Highline 2021 5.000km Igual Zero Km !!!! Aceito Troca,5.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 126.500,Conselheiro Lafaiete -  MG,"Hoje, 17:54",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nivus-highline-2021-5-000km-igual-zero-km-aceito-troca-1037798866,2022-06-01
1037778276,Hyundai hb20x automático ,61.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 55.900,Chapecó -  SC,"Hoje, 17:53",https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-automatico-1037778276,2022-06-01
1029668031,Chery Tiggo 5x 1.5 Vvt Turbo Iflex Txs,31.285 km  |  Câmbio: Automático  |  Flex  |  ,R$ 106.990,Rio de Janeiro -  RJ,"Hoje, 17:53",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-5x-1-5-vvt-turbo-iflex-txs-1029668031,2022-06-01
1025727422,VW PASSAT VARIANT 2012 ,147.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 66.900,São Paulo -  SP,"Hoje, 17:49",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-passat-variant-2012-1025727422,2022-06-01
1010902362,FORD KA 2019/2020 1.0 TI-VCT FLEX SE MANUAL,85.442 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.120,Bauru -  SP,"Hoje, 17:48",https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-0-ti-vct-flex-se-manual-1010902362,2022-06-01
867063012,Hyundai Hb20 1.0 12v Vision,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 77.390,São José dos Campos -  SP,"Hoje, 17:48",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-vision-867063012,2022-06-01
919146504,Hyundai hr 2.5 Longo Sem Caçamba 4x2 16v 130cv Tur,0 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 157.490,Salvador -  BA,"Hoje, 17:45",https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hr-2-5-longo-sem-cacamba-4x2-16v-130cv-tur-919146504,2022-06-01
1018078905,Ford Ka Sedan SE Plus 1.0 (Flex),68.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.900,Belo Horizonte -  MG,"Hoje, 17:44",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-sedan-se-plus-1-0-flex-1018078905,2022-06-01
1020419325,JEEP RENEGADE 1.8 16V FLEX LIMITED 4P AUT 2018,31.139 km  |  Câmbio: Automático  |  Flex  |  ,R$ 93.900,Curitiba -  PR,"Hoje, 17:44",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-16v-flex-limited-4p-aut-2018-1020419325,2022-06-01
1016647214,Hyundai Creta 1.6 16v Pulse Plus,57.600 km  |  Câmbio: Automático  |  Flex  |  ,R$ 91.990,Campina Grande -  PB,"Hoje, 17:44",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-1-6-16v-pulse-plus-1016647214,2022-06-01
1033521836,Hyundai Ix35 2.0 Mpfi gl 16v,58.900 km  |  Câmbio: Automático  |  Flex  |  ,R$ 94.990,Campina Grande -  PB,"Hoje, 17:44",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2-0-mpfi-gl-16v-1033521836,2022-06-01
1025758266,CHEVROLET SPIN 1.8L AT ACT 2015,300 km  |  Câmbio: Automático  |  Flex  |  ,R$ 61.900,Curitiba -  PR,"Hoje, 17:44",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-1-8l-at-act-2015-1025758266,2022-06-01
1034814981,CITROEN C3 120M EXCLUSIV 2013,125.434 km  |  Câmbio: Manual  |  Flex  |  ,R$ 38.900,Curitiba -  PR,"Hoje, 17:43",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-120m-exclusiv-2013-1034814981,2022-06-01
1026126094,Chery Tiggo 5x 1.5 Vvt Turbo Iflex t,17.172 km  |  Câmbio: Automático  |  Flex  |  ,R$ 10.990,Sorocaba -  SP,"Hoje, 17:41",https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-5x-1-5-vvt-turbo-iflex-t-1026126094,2022-06-01
1015542991,Land Rover,144 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 125.000,Sarandi -  PR,"Hoje, 17:41",https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/land-rover-1015542991,2022-06-01
1021632027,Land Rover Discovery Sport 2.0 HSE 2015/2016,1 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 189.900,Goiânia -  GO,"Hoje, 17:40",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/land-rover-discovery-sport-2-0-hse-2015-2016-1021632027,2022-06-01
1014247080,MITSUBISHI  OUTLANDER 3.0 2016 falar com Silvania *,78.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 116.890,Rio de Janeiro -  RJ,"Hoje, 17:40",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-outlander-3-0-2016-falar-com-silvania-1014247080,2022-06-01
1009169000,"Gm S-10 2.8 High Country 4x4 AT R$ 171.900,00",129.000 km  |  Câmbio: Automático  |  Diesel  |  ,,São Luís -  MA,"Hoje, 17:40",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/gm-s-10-2-8-high-country-4x4-at-r-171-900-00-1009169000,2022-06-01
984616566,"FIAT TORO VOLCANO DIESEL AT9 2022 0 KM,  ( PRONTA ENTREGA )",0 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 192.000,Salvador -  BA,"Hoje, 17:40",https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-volcano-diesel-at9-2022-0-km--pronta-entrega-984616566,2022-06-01
996264686,Hb20 confort plus 2016/17. Lindo carro! ,59.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 50.990,Rio de Janeiro -  RJ,"Hoje, 17:40",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-plus-2016-17-lindo-carro-996264686,2022-06-01
1033392173,Mitsubishi Outlander 2016 2.2 4x4 16v diesel 4p automático,153.155 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 149.890,Belo Horizonte -  MG,"Hoje, 17:40",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-outlander-2016-2-2-4x4-16v-diesel-4p-automatico-1033392173,2022-06-01
1019571133,Hyundai HB20X Style 1.6 Branco,92.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 66.700,Uberaba -  MG,"Hoje, 17:40",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-style-1-6-branco-1019571133,2022-06-01
1038162252,Mitsubish Pajero Sport Hpe 2.5 Diesel 4x4,231 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 64.900,Belo Horizonte -  MG,"Hoje, 17:40",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubish-pajero-sport-hpe-2-5-diesel-4x4-1038162252,2022-06-01
1024455951,"V12 VOLKS AERO, TCROSS HIGH VERMELHO SUNSET A PRONTA ENTREGA.",0 km  |  Câmbio: Automático  |  Flex  |  ,,Brasília -  DF,"Hoje, 17:40",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/v12-volks-aero-tcross-high-vermelho-sunset-a-pronta-entrega-1024455951,2022-06-01
1026857658,Saveiro Cross Cabine Duplas 1.6 Flex 2016 Completo ( baixo km ),82.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 74.900,Jundiaí -  SP,"Hoje, 17:40",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-cross-cabine-duplas-1-6-flex-2016-completo-baixo-km-1026857658,2022-06-01
1011648214,Chevrolet MONTANA MONTANA LS 1.4 ECONOFLEX 8V 2p,51.244 km  |  Câmbio: Manual  |  Flex  |  ,R$ 63.890,Uberlândia -  MG,"Hoje, 17:40",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-montana-montana-ls-1-4-econoflex-8v-2p-1011648214,2022-06-01
991173402,Jeep Renegade Limited Branco Pérola Bancos de Couro Ipva 2022 Ok ,38.368 km  |  Câmbio: Automático  |  Flex  |  ,R$ 92.900,Rio de Janeiro -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-limited-branco-perola-bancos-de-couro-ipva-2022-ok-991173402,2022-06-01
1033858293,HONDA CIVIC 2.0 16V FLEXONE EX 4P CVT,48.974 km  |  Câmbio: Automático  |  Flex  |  ,R$ 112.750,Recife -  PE,"Hoje, 17:39",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2-0-16v-flexone-ex-4p-cvt-1033858293,2022-06-01
977717933,T-CROSS 2019/2020 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,41.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 109.990,Rio de Janeiro -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/t-cross-2019-2020-1-4-250-tsi-total-flex-highline-automatico-977717933,2022-06-01
661551658,Zafira Expression 2.0 - 2009,0 km  |  Câmbio: Manual  |  Flex  |  ,,Sorocaba -  SP,"Hoje, 17:39",https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/zafira-expression-2-0-2009-661551658,2022-06-01
1028441443,Honda Civic 2014 automático lxs,117.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 68.000,Santo André -  SP,"Hoje, 17:39",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2014-automatico-lxs-1028441443,2022-06-01
983000329,STRADA 2020/2021 1.4 FIRE FLEX ENDURANCE CS MANUAL,44.590 km  |  Câmbio: Manual  |  Flex  |  ,R$ 82.390,Salvador -  BA,"Hoje, 17:39",https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/strada-2020-2021-1-4-fire-flex-endurance-cs-manual-983000329,2022-06-01
1001853404,Fiat Argo 2020 1.0 firefly flex drive manual,67.291 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.990,Rio de Janeiro -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2020-1-0-firefly-flex-drive-manual-1001853404,2022-06-01
1032192756,Hyundai / Santa Fé GLS v6 Ano/2014,90.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 106.800,Panambi -  RS,"Hoje, 17:39",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-santa-fe-gls-v6-ano-2014-1032192756,2022-06-01
1017529289,Outlander cvt 2.0 2016 garantia de 1 ano 5 lugares,63.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 110.885,Niterói -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/outlander-cvt-2-0-2016-garantia-de-1-ano-5-lugares-1017529289,2022-06-01
1030743687,Volkswagen Polo 2021 1.6 msi total flex manual,37.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 81.900,Petrópolis -  RJ,"Hoje, 17:39",https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2021-1-6-msi-total-flex-manual-1030743687,2022-06-01
1026365367,Toyota Corolla XEI 2.0 ,18.571 km  |  Câmbio: Automático  |  Flex  |  ,R$ 142.900,Colatina -  ES,"Hoje, 17:39",https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-1026365367,2022-06-01
992499329,Classic LS,300 km  |  Câmbio: Manual  |  Flex  |  ,R$ 36.900,Morrinhos -  GO,"Hoje, 17:39",https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/autos-e-pecas/carros-vans-e-utilitarios/classic-ls-992499329,2022-06-01
1022382339,VW - Volkswagen Amarok High.Cd 2.0 16V Tdi 4x4 Dies. Aut,139.900 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 130.900,Curitiba -  PR,"Hoje, 17:39",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/vw-volkswagen-amarok-high-cd-2-0-16v-tdi-4x4-dies-aut-1022382339,2022-06-01
1017536170,Cruze 1.8 Sport6 Hatch +top da categoria,105.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 71.900,Hortolândia -  SP,"Hoje, 17:38",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/cruze-1-8-sport6-hatch-top-da-categoria-1017536170,2022-06-01
1019166615,Jimny 4SUN 1.3 16V,85.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 78.900,São José -  SC,"Hoje, 17:38",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jimny-4sun-1-3-16v-1019166615,2022-06-01
988554777,Toro 1.8 Endurence 2021 - IPVA 2022 Grátis,51.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 106.890,Santo André -  SP,"Hoje, 17:38",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-1-8-endurence-2021-ipva-2022-gratis-988554777,2022-06-01
856933715,COMPASS 2019/2020 2.0 16V FLEX LONGITUDE AUTOMÁTICO,52.654 km  |  Câmbio: Automático  |  Flex  |  ,R$ 119.900,Rio das Ostras -  RJ,"Hoje, 17:38",https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/compass-2019-2020-2-0-16v-flex-longitude-automatico-856933715,2022-06-01
1002087824,Honda Civic EXL 2.0 2018/2019,70.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 125.900,Palmas -  TO,"Hoje, 17:38",https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-exl-2-0-2018-2019-1002087824,2022-06-01
1022381862,HONDA CITY 1.5 EXL 16V FLEX 4P AUTOMÁTICO,10.253 km  |  Câmbio: Automático  |  Flex  |  ,R$ 91.900,Fortaleza -  CE,"Hoje, 17:38",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-city-1-5-exl-16v-flex-4p-automatico-1022381862,2022-06-01
1035817078,VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMATICO 2021,12.443 km  |  Câmbio: Automático  |  Flex  |  ,R$ 120.900,Curitiba -  PR,"Hoje, 17:38",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-1-0-200-tsi-total-flex-automatico-2021-1035817078,2022-06-01
941313794,"CRETA 1.6 ATTITUDE MANUAL 2019/2019 , KM 35 MIL , EXTRA !",35.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 99.890,Fortaleza -  CE,"Hoje, 17:38",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/creta-1-6-attitude-manual-2019-2019-km-35-mil-extra-941313794,2022-06-01
