id,titulo,infos,valor,local,data_anuncio,link,DATA_COLETA_METADADOS
1031838113,Kwid Intense,54.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.900,Novo Hamburgo -  RS,"Hoje, 17:37",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kwid-intense-1031838113,2022-06-01
1033858293,HONDA CIVIC 2.0 16V FLEXONE EX 4P CVT,48.974 km  |  Câmbio: Automático  |  Flex  |  ,R$ 112.750,Recife -  PE,"Hoje, 17:39",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2-0-16v-flexone-ex-4p-cvt-1033858293,2022-06-01
977717933,T-CROSS 2019/2020 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,41.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 109.990,Rio de Janeiro -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/t-cross-2019-2020-1-4-250-tsi-total-flex-highline-automatico-977717933,2022-06-01
661551658,Zafira Expression 2.0 - 2009,0 km  |  Câmbio: Manual  |  Flex  |  ,,Sorocaba -  SP,"Hoje, 17:39",https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/zafira-expression-2-0-2009-661551658,2022-06-01
1028441443,Honda Civic 2014 automático lxs,117.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 68.000,Santo André -  SP,"Hoje, 17:39",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2014-automatico-lxs-1028441443,2022-06-01
983000329,STRADA 2020/2021 1.4 FIRE FLEX ENDURANCE CS MANUAL,44.590 km  |  Câmbio: Manual  |  Flex  |  ,R$ 82.390,Salvador -  BA,"Hoje, 17:39",https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/strada-2020-2021-1-4-fire-flex-endurance-cs-manual-983000329,2022-06-01
1001853404,Fiat Argo 2020 1.0 firefly flex drive manual,67.291 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.990,Rio de Janeiro -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2020-1-0-firefly-flex-drive-manual-1001853404,2022-06-01
1032192756,Hyundai / Santa Fé GLS v6 Ano/2014,90.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 106.800,Panambi -  RS,"Hoje, 17:39",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-santa-fe-gls-v6-ano-2014-1032192756,2022-06-01
1017529289,Outlander cvt 2.0 2016 garantia de 1 ano 5 lugares,63.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 110.885,Niterói -  RJ,"Hoje, 17:39",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/outlander-cvt-2-0-2016-garantia-de-1-ano-5-lugares-1017529289,2022-06-01
1030743687,Volkswagen Polo 2021 1.6 msi total flex manual,37.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 81.900,Petrópolis -  RJ,"Hoje, 17:39",https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2021-1-6-msi-total-flex-manual-1030743687,2022-06-01
1026365367,Toyota Corolla XEI 2.0 ,18.571 km  |  Câmbio: Automático  |  Flex  |  ,R$ 142.900,Colatina -  ES,"Hoje, 17:39",https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-1026365367,2022-06-01
992499329,Classic LS,300 km  |  Câmbio: Manual  |  Flex  |  ,R$ 36.900,Morrinhos -  GO,"Hoje, 17:39",https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/autos-e-pecas/carros-vans-e-utilitarios/classic-ls-992499329,2022-06-01
1022382339,VW - Volkswagen Amarok High.Cd 2.0 16V Tdi 4x4 Dies. Aut,139.900 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 130.900,Curitiba -  PR,"Hoje, 17:39",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/vw-volkswagen-amarok-high-cd-2-0-16v-tdi-4x4-dies-aut-1022382339,2022-06-01
1031246376,HONDA CITY EXL CVT 2017 1.5 AUTOMÁTICO,1.111 km  |  Câmbio: Automático  |  Flex  |  ,R$ 85.900,Londrina -  PR,"Hoje, 17:38",https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/honda-city-exl-cvt-2017-1-5-automatico-1031246376,2022-06-01
1017536170,Cruze 1.8 Sport6 Hatch +top da categoria,105.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 71.900,Hortolândia -  SP,"Hoje, 17:38",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/cruze-1-8-sport6-hatch-top-da-categoria-1017536170,2022-06-01
1019166615,Jimny 4SUN 1.3 16V,85.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 78.900,São José -  SC,"Hoje, 17:38",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jimny-4sun-1-3-16v-1019166615,2022-06-01
988554777,Toro 1.8 Endurence 2021 - IPVA 2022 Grátis,51.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 106.890,Santo André -  SP,"Hoje, 17:38",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-1-8-endurence-2021-ipva-2022-gratis-988554777,2022-06-01
856933715,COMPASS 2019/2020 2.0 16V FLEX LONGITUDE AUTOMÁTICO,52.654 km  |  Câmbio: Automático  |  Flex  |  ,R$ 119.900,Rio das Ostras -  RJ,"Hoje, 17:38",https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/compass-2019-2020-2-0-16v-flex-longitude-automatico-856933715,2022-06-01
1002087824,Honda Civic EXL 2.0 2018/2019,70.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 125.900,Palmas -  TO,"Hoje, 17:38",https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-exl-2-0-2018-2019-1002087824,2022-06-01
1022381862,HONDA CITY 1.5 EXL 16V FLEX 4P AUTOMÁTICO,10.253 km  |  Câmbio: Automático  |  Flex  |  ,R$ 91.900,Fortaleza -  CE,"Hoje, 17:38",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-city-1-5-exl-16v-flex-4p-automatico-1022381862,2022-06-01
1035817078,VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMATICO 2021,12.443 km  |  Câmbio: Automático  |  Flex  |  ,R$ 120.900,Curitiba -  PR,"Hoje, 17:38",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-1-0-200-tsi-total-flex-automatico-2021-1035817078,2022-06-01
941313794,"CRETA 1.6 ATTITUDE MANUAL 2019/2019 , KM 35 MIL , EXTRA !",35.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 99.890,Fortaleza -  CE,"Hoje, 17:38",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/creta-1-6-attitude-manual-2019-2019-km-35-mil-extra-941313794,2022-06-01
1031838113,Kwid Intense,54.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.900,Novo Hamburgo -  RS,"Hoje, 17:37",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kwid-intense-1031838113,2022-06-01
1010627537,PICANTO COM TETO SOLAR,240.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 39.000,Balneário Camboriú -  SC,"Hoje, 17:37",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/picanto-com-teto-solar-1010627537,2022-06-01
1038028785,RENEGADE 2018/2018 1.8 16V FLEX SPORT 4P AUTOMÁTICO,82.896 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.370,Blumenau -  SC,"Hoje, 17:36",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/renegade-2018-2018-1-8-16v-flex-sport-4p-automatico-1038028785,2022-06-01
1033488084,Hyundai HB20 1.0 Vision (Flex),0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 75.490,Goiânia -  GO,"Hoje, 17:36",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-vision-flex-1033488084,2022-06-01
1038542370,DUCATO 2015 UNICO DONO MARTICAR 17 ESTA COM 128 MIL KM,128.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 114.000,Curitiba -  PR,"Hoje, 17:36",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/ducato-2015-unico-dono-marticar-17-esta-com-128-mil-km-1038542370,2022-06-01
1038541662,Frontier Platinum ,75.500 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 132.900,Brasília -  DF,"Hoje, 17:36",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/frontier-platinum-1038541662,2022-06-01
989951163,"D 20 ano 96 ultima série modelo tropical 4 portas turbo diesel, motor maxion  4.0",333 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 75.000,Sorocaba -  SP,"Hoje, 17:36",https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/d-20-ano-96-ultima-serie-modelo-tropical-4-portas-turbo-diesel-motor-maxion-4-0-989951163,2022-06-01
1034937449,Honda Civic LXR 2.0 2014,115.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 71.500,Limeira -  SP,"Hoje, 17:36",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxr-2-0-2014-1034937449,2022-06-01
1030257897,Vendo GLA 200 1.6  2018 R$  135900,42.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 135.900,Rio de Janeiro -  RJ,"Hoje, 17:35",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-gla-200-1-6-2018-r-135900-1030257897,2022-06-01
996368148,"Vendo Ford Focus ""Completão""",172.718 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.900,Brasília -  DF,"Hoje, 17:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-ford-focus-completao-996368148,2022-06-01
1005658643,Tiggo 5x Txs Turbo 1.5 Completa - (ÚnicoDono),19.194 km  |  Câmbio: Automático  |  Flex  |  ,R$ 129.990,Recife -  PE,"Hoje, 17:35",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/tiggo-5x-txs-turbo-1-5-completa-unicodono-1005658643,2022-06-01
1028191067,Palio 1.0 Flex 2P 2009 - Pitbull - IPVA 2022 pago.,111.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 16.900,Rio de Janeiro -  RJ,"Hoje, 17:35",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-flex-2p-2009-pitbull-ipva-2022-pago-1028191067,2022-06-01
1036768329,Strada Volcano 1.3 22/22 0km,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 113.466,Rio de Janeiro -  RJ,"Hoje, 17:35",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/strada-volcano-1-3-22-22-0km-1036768329,2022-06-01
979105726,VOLKSWAGEN JETTA 2.0 T 2014,130.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 77.900,Londrina -  PR,"Hoje, 17:35",https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-jetta-2-0-t-2014-979105726,2022-06-01
1007287967,C10,75.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 43.000,Brasília -  DF,"Hoje, 17:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c10-1007287967,2022-06-01
1031341669,sw4 - toyota - hilux - 1998,218.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 60.000,Salvador -  BA,"Hoje, 17:35",https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/sw4-toyota-hilux-1998-1031341669,2022-06-01
1019147964,Hyundai Hb20x 1.6 16V FLEX EVOLUTION AUTOMÁTICO,23.460 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.990,Brasília -  DF,"Hoje, 17:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-1-6-16v-flex-evolution-automatico-1019147964,2022-06-01
1020428978,BMW 328i M Sport 2.0T - Único Dono - Revisões em Concessionária - 2018,54.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 189.990,Guarulhos -  SP,"Hoje, 17:35",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-328i-m-sport-2-0t-unico-dono-revisoes-em-concessionaria-2018-1020428978,2022-06-01
1032441415,Sw4 Srx 7 lugares 2019,95.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 307.800,Aracaju -  SE,"Hoje, 17:35",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/sw4-srx-7-lugares-2019-1032441415,2022-06-01
1011908870,RENEGADE 2020/2021 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,53.773 km  |  Câmbio: Automático  |  Flex  |  ,R$ 100.420,Porto Alegre -  RS,"Hoje, 17:35",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renegade-2020-2021-1-8-16v-flex-longitude-4p-automatico-1011908870,2022-06-01
1030247062,Vendo Renegade 1.8 Aut R$74900,86.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 74.900,Rio de Janeiro -  RJ,"Hoje, 17:35",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-renegade-1-8-aut-r-74900-1030247062,2022-06-01
1036401554,Abaixo da Tabela Fipe Jeep Compass Longitude 2.0 Aut. 2019,34.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 128.990,Mogi das Cruzes -  SP,"Hoje, 17:35",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/abaixo-da-tabela-fipe-jeep-compass-longitude-2-0-aut-2019-1036401554,2022-06-01
976048821,new tucson gls turbo,27.924 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 149.000,Criciúma -  SC,"Hoje, 17:35",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/new-tucson-gls-turbo-976048821,2022-06-01
1037441313,ARGO COMPLETO ANO 2020,42.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 62.900,Vila Velha -  ES,"Hoje, 17:35",https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/argo-completo-ano-2020-1037441313,2022-06-01
997549094,ARGO DRIVE ENT+859 FIXAS,42.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.900,Rio de Janeiro -  RJ,"Hoje, 17:35",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/argo-drive-ent-859-fixas-997549094,2022-06-01
1006718983,MINI COOPER 1.6 S 16V TURBO,81.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 74.900,São Caetano do Sul -  SP,"Hoje, 17:35",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mini-cooper-1-6-s-16v-turbo-1006718983,2022-06-01
1033549631,VW Crossfox 1.6 MI Flex Manual,137.936 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.900,Saquarema -  RJ,"Hoje, 17:35",https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/vw-crossfox-1-6-mi-flex-manual-1033549631,2022-06-01
1001355128,Jeep Renegade 2020 1.8 16v flex sport 4p automático,22.677 km  |  Câmbio: Automático  |  Flex  |  ,R$ 95.900,Contagem -  MG,"Hoje, 17:35",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2020-1-8-16v-flex-sport-4p-automatico-1001355128,2022-06-01
1028539614,Pajero Sport 3.5 V6 Flex 4x4 Aut,122.797 km  |  Câmbio: Automático  |  Flex  |  ,R$ 54.900,Osasco -  SP,"Hoje, 17:35",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-3-5-v6-flex-4x4-aut-1028539614,2022-06-01
